song_title,artist,release,track_uri,spotify_id,duration,explicit,popularity,is_popular,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
EXPLORER,Noriyuki Makihara,8/11/2004,3KZbMr4Q1D7fqqNXbcqmDz,3KZbMr4Q1D7fqqNXbcqmDz,277400,FALSE,57,1,album,0.556,0.763,9,-5.733,1,0.0277,0.229,0,0.327,0.782,98.999,4
Luxury Disease,ONE OK ROCK,9/9/2022,1xeikRZtZYOymGJAxOm1dr,1xeikRZtZYOymGJAxOm1dr,197995,FALSE,57,1,album,0.56,0.859,5,-2.747,1,0.0694,0.00802,0,0.0541,0.768,82.52,4
ENTERTAINMENT,SEKAI NO OWARI,7/18/2012,33NfPE6285Ef2nSrFSn88N,33NfPE6285Ef2nSrFSn88N,340560,FALSE,58,0,album,0.585,0.809,2,-4.845,1,0.0379,0.00561,0.000285,0.084,0.226,125.051,4
スーベニア,SPITZ,7/1/2005,4F0m8AWIgR7SK6GyvPsPpc,4F0m8AWIgR7SK6GyvPsPpc,281600,FALSE,56,1,album,0.525,0.838,9,-4.506,1,0.0397,0.00731,0.0671,0.0561,0.644,115.873,4
CYCLE HIT 1991-1997 Spitz Complete Single Collection,SPITZ,3/25/2006,0zuUOXxNQuyGATqB1N6JdL,0zuUOXxNQuyGATqB1N6JdL,281480,FALSE,57,1,compilation,0.535,0.871,7,-5.296,1,0.0474,0.713,0.293,0.178,0.462,123.011,4
狂言,Ado,1/26/2022,2mSRPQsUDIXJFfo3CpKJBA,2mSRPQsUDIXJFfo3CpKJBA,276080,FALSE,57,1,album,0.657,0.862,7,-4.163,1,0.0543,0.0492,0,0.0898,0.724,95.994,4
2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,3/11/2021,3dxmlsjBTrbJG7FzSRvU58,3dxmlsjBTrbJG7FzSRvU58,309000,FALSE,57,1,album,0.503,0.117,0,-9.519,1,0.0387,0.681,0,0.346,0.365,78.068,4
テイクミー,Saucy Dog,9/2/2020,5RbE09Y7msV2YXoAO201Gl,5RbE09Y7msV2YXoAO201Gl,301706,FALSE,57,1,album,0.511,0.8,5,-6.166,1,0.0365,0.0717,3.26E-05,0.31,0.636,140.903,4
EXILE EVOLUTION,EXILE,3/7/2007,4wLQr28uORriOx5rNM8by7,4wLQr28uORriOx5rNM8by7,277366,FALSE,57,1,album,0.649,0.842,8,-4.599,0,0.0622,0.577,0,0.116,0.653,91.983,4
夏服,aiko,6/20/2001,4PhuneEbBLABKm7SUXoxn7,4PhuneEbBLABKm7SUXoxn7,286773,FALSE,57,1,album,0.742,0.817,2,-5.531,1,0.0305,0.0786,0.000114,0.329,0.834,120.04,4
BOOTLEG,Kenshi Yonezu,11/1/2017,1bIZxrSkbxatnTo8ObcIxX,1bIZxrSkbxatnTo8ObcIxX,281906,FALSE,61,0,album,0.702,0.614,8,-4.93,1,0.028,0.103,0,0.231,0.507,104.022,4
Memory,マルシィ,6/1/2022,3hD6z4YbJk64kN3v3N47hr,3hD6z4YbJk64kN3v3N47hr,229586,FALSE,61,0,album,0.667,0.554,3,-6.898,1,0.0404,0.182,0,0.0847,0.654,77.983,4
夕風ブレンド,Sukima Switch,11/29/2006,72t8Apk92BNOE9iWiVfRG9,72t8Apk92BNOE9iWiVfRG9,336880,FALSE,57,1,album,0.534,0.461,10,-7.207,1,0.0291,0.606,5.93E-06,0.112,0.345,82.062,4
裸の勇者,Vaundy,2/21/2022,0KmWLURMOpAqYwetgdScXk,0KmWLURMOpAqYwetgdScXk,201973,FALSE,58,0,single,0.442,0.888,9,-5.747,0,0.121,0.0127,0.000727,0.2,0.435,163.032,4
ロマンチシズム,Mrs. GREEN APPLE,3/15/2019,7BwkDMUfGl0yttRXS13SAO,7BwkDMUfGl0yttRXS13SAO,213746,FALSE,57,1,single,0.606,0.881,10,-3.141,1,0.0647,0.00505,0,0.0412,0.886,125.479,4
